Date,Account,Department,Amount
2025-01-01,Revenue,Sales,185000
2025-01-01,Revenue,Marketing,42000
2025-01-01,Cost of Goods Sold,Sales,-41000
2025-01-01,Cost of Goods Sold,Marketing,-9300
2025-01-01,Payroll,Sales,-76000
2025-01-01,Payroll,Marketing,-52000
2025-01-01,Software,Sales,-8500
2025-01-01,Software,Marketing,-6200
2025-01-01,Travel,Sales,-4700
2025-01-01,Travel,Marketing,-3100
2025-01-01,Facilities,Sales,-13200
2025-01-01,Facilities,Marketing,-7400
2025-02-01,Revenue,Sales,194000
2025-02-01,Revenue,Marketing,45500
2025-02-01,Cost of Goods Sold,Sales,-43200
2025-02-01,Cost of Goods Sold,Marketing,-10100
2025-02-01,Payroll,Sales,-77500
2025-02-01,Payroll,Marketing,-52800
2025-02-01,Software,Sales,-8600
2025-02-01,Software,Marketing,-6400
2025-02-01,Travel,Sales,-5200
2025-02-01,Travel,Marketing,-3500
2025-02-01,Facilities,Sales,-13350
2025-02-01,Facilities,Marketing,-7480
2025-03-01,Revenue,Sales,203500
2025-03-01,Revenue,Marketing,48300
2025-03-01,Cost of Goods Sold,Sales,-45600
2025-03-01,Cost of Goods Sold,Marketing,-10800
2025-03-01,Payroll,Sales,-78900
2025-03-01,Payroll,Marketing,-53600
2025-03-01,Software,Sales,-8750
2025-03-01,Software,Marketing,-6550
2025-03-01,Travel,Sales,-6100
2025-03-01,Travel,Marketing,-3900
2025-03-01,Facilities,Sales,-13500
2025-03-01,Facilities,Marketing,-7560
2025-04-01,Revenue,Sales,211000
2025-04-01,Revenue,Marketing,50600
2025-04-01,Cost of Goods Sold,Sales,-47500
2025-04-01,Cost of Goods Sold,Marketing,-11400
2025-04-01,Payroll,Sales,-80200
2025-04-01,Payroll,Marketing,-54800
2025-04-01,Software,Sales,-8900
2025-04-01,Software,Marketing,-6700
2025-04-01,Travel,Sales,-6900
2025-04-01,Travel,Marketing,-4200
2025-04-01,Facilities,Sales,-13650
2025-04-01,Facilities,Marketing,-7640
2025-05-01,Revenue,Sales,219500
2025-05-01,Revenue,Marketing,52800
2025-05-01,Cost of Goods Sold,Sales,-49100
2025-05-01,Cost of Goods Sold,Marketing,-11800
2025-05-01,Payroll,Sales,-81800
2025-05-01,Payroll,Marketing,-55700
2025-05-01,Software,Sales,-9100
2025-05-01,Software,Marketing,-6850
2025-05-01,Travel,Sales,-7300
2025-05-01,Travel,Marketing,-4500
2025-05-01,Facilities,Sales,-13800
2025-05-01,Facilities,Marketing,-7720
2025-06-01,Revenue,Sales,228000
2025-06-01,Revenue,Marketing,55200
2025-06-01,Cost of Goods Sold,Sales,-51200
2025-06-01,Cost of Goods Sold,Marketing,-12300
2025-06-01,Payroll,Sales,-83500
2025-06-01,Payroll,Marketing,-56900
2025-06-01,Software,Sales,-9300
2025-06-01,Software,Marketing,-7000
2025-06-01,Travel,Sales,-7600
2025-06-01,Travel,Marketing,-4800
2025-06-01,Facilities,Sales,-13950
2025-06-01,Facilities,Marketing,-7800
2025-07-01,Revenue,Sales,236500
2025-07-01,Revenue,Marketing,57600
2025-07-01,Cost of Goods Sold,Sales,-53100
2025-07-01,Cost of Goods Sold,Marketing,-13000
2025-07-01,Payroll,Sales,-85200
2025-07-01,Payroll,Marketing,-58000
2025-07-01,Software,Sales,-9500
2025-07-01,Software,Marketing,-7200
2025-07-01,Travel,Sales,-8200
2025-07-01,Travel,Marketing,-5200
2025-07-01,Facilities,Sales,-14100
2025-07-01,Facilities,Marketing,-7880
2025-08-01,Revenue,Sales,244000
2025-08-01,Revenue,Marketing,59800
2025-08-01,Cost of Goods Sold,Sales,-54800
2025-08-01,Cost of Goods Sold,Marketing,-13600
2025-08-01,Payroll,Sales,-86900
2025-08-01,Payroll,Marketing,-59200
2025-08-01,Software,Sales,-9700
2025-08-01,Software,Marketing,-7350
2025-08-01,Travel,Sales,-8700
2025-08-01,Travel,Marketing,-5500
2025-08-01,Facilities,Sales,-14250
2025-08-01,Facilities,Marketing,-7960
2025-09-01,Revenue,Sales,253000
2025-09-01,Revenue,Marketing,62400
2025-09-01,Cost of Goods Sold,Sales,-56600
2025-09-01,Cost of Goods Sold,Marketing,-14300
2025-09-01,Payroll,Sales,-88600
2025-09-01,Payroll,Marketing,-60400
2025-09-01,Software,Sales,-9900
2025-09-01,Software,Marketing,-7500
2025-09-01,Travel,Sales,-9100
2025-09-01,Travel,Marketing,-5900
2025-09-01,Facilities,Sales,-14400
2025-09-01,Facilities,Marketing,-8040
2025-10-01,Revenue,Sales,262500
2025-10-01,Revenue,Marketing,64800
2025-10-01,Cost of Goods Sold,Sales,-58400
2025-10-01,Cost of Goods Sold,Marketing,-14600
2025-10-01,Payroll,Sales,-90400
2025-10-01,Payroll,Marketing,-61800
2025-10-01,Software,Sales,-10100
2025-10-01,Software,Marketing,-7650
2025-10-01,Travel,Sales,-9600
2025-10-01,Travel,Marketing,-6300
2025-10-01,Facilities,Sales,-14550
2025-10-01,Facilities,Marketing,-8120
2025-11-01,Revenue,Sales,271000
2025-11-01,Revenue,Marketing,67100
2025-11-01,Cost of Goods Sold,Sales,-60300
2025-11-01,Cost of Goods Sold,Marketing,-14900
2025-11-01,Payroll,Sales,-92200
2025-11-01,Payroll,Marketing,-63100
2025-11-01,Software,Sales,-10300
2025-11-01,Software,Marketing,-7800
2025-11-01,Travel,Sales,-10400
2025-11-01,Travel,Marketing,-6800
2025-11-01,Facilities,Sales,-14700
2025-11-01,Facilities,Marketing,-8200
2025-12-01,Revenue,Sales,282000
2025-12-01,Revenue,Marketing,70500
2025-12-01,Cost of Goods Sold,Sales,-62800
2025-12-01,Cost of Goods Sold,Marketing,-15700
2025-12-01,Payroll,Sales,-94100
2025-12-01,Payroll,Marketing,-64600
2025-12-01,Software,Sales,-10500
2025-12-01,Software,Marketing,-8000
